clip_id,subject_id,view,side,arm,rep_idx,quality,fps,start_frame,peak_frame,end_frame,min_angle,max_angle,rom,start_angle,peak_angle,end_angle,concentric_ms,eccentric_ms,shoulder_drift_norm,wrist_swing_norm,valid_frame_ratio
clip_005_you_front_both_partial,you,front,both,both,7,bad_partial_rom,30,1270,1318,1410,57.7857,178.5502,120.7645,177.9503,57.7857,178.5502,1600,3067,0.0301,0.1019,1.0000
clip_005_you_front_both_partial,you,front,both,both,8,bad_partial_rom,30,1476,1546,1646,50.7949,179.4722,128.6773,179.4722,50.7949,176.7710,2333,3333,0.0275,0.0767,1.0000
clip_005_you_front_both_partial,you,front,both,both,9,bad_partial_rom,30,1476,1595,1646,50.7949,179.4722,128.6773,179.4722,51.9463,176.7710,3967,1700,0.0275,0.0767,1.0000
clip_005_you_front_both_partial,you,front,both,both,10,bad_partial_rom,30,1717,1798,1942,48.5755,179.0402,130.4647,178.8908,48.5755,179.0402,2700,4800,0.0287,0.0863,1.0000
clip_005_you_front_both_partial,you,front,both,both,11,bad_partial_rom,30,1717,1834,1942,48.5755,179.0402,130.4647,178.8908,49.4842,179.0402,3900,3600,0.0287,0.0863,1.0000
clip_005_you_front_both_partial,you,front,both,both,12,bad_partial_rom,30,1942,2029,2129,58.6057,178.2970,119.6912,178.2970,59.2972,177.9296,2900,3333,0.0329,0.0916,1.0000
clip_005_you_front_both_partial,you,front,both,both,13,bad_partial_rom,30,1942,2077,2129,58.6057,178.2970,119.6912,178.2970,58.6057,177.9296,4500,1733,0.0329,0.0916,1.0000
clip_005_you_front_both_partial,you,front,both,both,14,bad_partial_rom,30,2204,2251,2326,49.3839,179.0537,129.6698,178.6510,49.3839,179.0537,1567,2500,0.0267,0.0734,1.0000
clip_006_you_front_both_swing,you,front,both,both,0,bad_swing,30,251,316,418,0.9697,179.1325,178.1627,177.3601,0.9697,179.1325,2167,3400,0.0417,0.1165,1.0000
clip_006_you_front_both_swing,you,front,both,both,1,bad_swing,30,251,351,418,0.9697,179.1325,178.1627,177.3601,1.9836,179.1325,3333,2233,0.0417,0.1165,1.0000
clip_006_you_front_both_swing,you,front,both,both,2,bad_swing,30,494,537,651,3.9284,177.9344,174.0060,177.9344,3.9284,176.5393,1433,3800,0.0368,0.0967,1.0000
clip_006_you_front_both_swing,you,front,both,both,3,bad_swing,30,651,751,897,5.0073,177.8445,172.8371,177.2081,5.0073,177.8445,3333,4867,0.0358,0.1239,1.0000
clip_006_you_front_both_swing,you,front,both,both,4,bad_swing,30,897,948,1057,0.7547,179.1633,178.4086,176.3014,0.7547,179.1633,1700,3633,0.0363,0.1086,1.0000
clip_006_you_front_both_swing,you,front,both,both,5,bad_swing,30,1057,1137,1270,7.1162,179.0912,171.9750,179.0912,7.1162,178.1025,2667,4433,0.0343,0.0992,1.0000
clip_006_you_front_both_swing,you,front,both,both,6,bad_swing,30,1270,1359,1448,3.5838,178.4004,174.8166,177.3840,3.5838,178.4004,2967,2967,0.0384,0.0943,1.0000
clip_006_you_front_both_swing,you,front,both,both,7,bad_swing,30,1448,1571,1654,6.1384,179.0138,172.8753,178.5410,6.1384,179.0138,4100,2767,0.0432,0.1618,1.0000
clip_006_you_front_both_swing,you,front,both,both,8,bad_swing,30,1654,1742,1822,5.1059,178.9852,173.8792,178.8235,5.1059,177.9899,2933,2667,0.0325,0.0856,1.0000
clip_006_you_front_both_swing,you,front,both,both,9,bad_swing,30,1858,1922,2015,5.6850,178.5700,172.8850,178.5436,5.6850,178.5700,2133,3100,0.0342,0.1006,1.0000
clip_006_you_front_both_swing,you,front,both,both,10,bad_swing,30,1858,1961,2015,5.6850,178.5700,172.8850,178.5436,6.7502,178.5700,3433,1800,0.0342,0.1006,1.0000
